variant,tier_clients,duration_s,client_sent_msgs,server_count,server_avg_ns,server_max_ns
epoll_pool_lockfree,1,5.0,285886,,,
epoll_pool_lockfree,2,5.0,354306,,,
epoll_pool_lockfree,4,5.0,1317809,,,
epoll_pool_lockfree,8,5.0,953054,886736,159,115484
epoll_pool_lockfree,16,5.0,942090,903097,156,112770
epoll_pool_lockfree,32,5.0,1123881,1005040,143,98162
epoll_nopool_lockfree,1,5.0,1068800,1064498,250,81652
epoll_nopool_lockfree,2,5.0,2036064,1120044,257,157663
epoll_nopool_lockfree,4,5.0,3061409,1077623,289,298293
epoll_nopool_lockfree,8,5.0,936946,860327,287,250094
epoll_nopool_lockfree,16,5.0,915067,825951,352,340762
epoll_nopool_lockfree,32,5.0,1038458,906234,384,248662
epoll_pool_mutex,1,5.0,483931,,,
epoll_pool_mutex,2,5.0,1417442,,,
epoll_pool_mutex,4,5.0,3039127,993208,557,951185
epoll_pool_mutex,8,5.0,238287,,,
epoll_pool_mutex,16,5.0,976011,913041,539,127206
epoll_pool_mutex,32,5.0,964182,,,
blocking_tcp_pool_lockfree,1,5.0,206186,,,
blocking_tcp_pool_lockfree,2,5.0,178872,,,
blocking_tcp_pool_lockfree,4,5.0,228960,,,
blocking_tcp_pool_lockfree,8,5.0,221627,,,
blocking_tcp_pool_lockfree,16,5.0,258330,,,
blocking_tcp_pool_lockfree,32,5.0,262399,,,
poll_pool_lockfree,1,5.0,178675,,,
poll_pool_lockfree,2,5.0,2012088,1200867,136,76592
poll_pool_lockfree,4,5.0,3133670,1140149,134,56004
poll_pool_lockfree,8,5.0,980814,898996,138,29485
poll_pool_lockfree,16,5.0,998976,916402,148,94516
poll_pool_lockfree,32,5.0,1057164,894101,160,175586
